#,Learner First Name (s),Learner Last Name,Learner Grade,Learner Class,Learner Mobile Number,Learner Email address (Optional),Parent 1 First Name (s),Parent 1 Last Name,Parent 1 Mobile Number,Parent 1 Email address (Optional),Parent 2 First Name (s),Parent 2 Last Name,Parent 2 Mobile Number,Parent 2 Email address (Optional),,,,,
1,Brian,Durham,Grade 1,Gr 1A,836189524,peoplesr@att.net,Barbara,Durham,836189524,peoplesr@att.net,Brad,Durham,836189524,peoplesr@att.net,,,,,
2,Amanda,Moore,Grade 1,Gr 1A,8569825,kmself@yahoo.ca,Sheila,Moore,8569825,kmself@yahoo.ca,Jacob,Moore,8569825,kmself@yahoo.ca,,,,,
3,Tammy,May,Grade 1,Gr 1A,833267474,bigmauler@outlook.com,Tracy,May,833267474,bigmauler@outlook.com,Timothy,May,833267474,bigmauler@outlook.com,,,,,
4,Debra,Thomas,Grade 1,Gr 1A,846673953,jespley@comcast.net,Karen,Thomas,846673953,jespley@comcast.net,Patrick,Thomas,846673953,jespley@comcast.net,,,,,
5,Laura,Dalton,Grade 1,Gr 1A,83440796,pontipak@verizon.net,Jamie,Dalton,83440796,pontipak@verizon.net,Craig,Dalton,83440796,pontipak@verizon.net,,,,,
6,Rebecca,Walker,Grade 1,Gr 1A,834153419,scottlee@att.net,Mrs.,Walker,834153419,scottlee@att.net,James,Walker,834153419,scottlee@att.net,,,,,
7,Mr.,Jordan,Grade 1,Gr 1A,846519690,sakusha@comcast.net,Alexandria,Jordan,846519690,sakusha@comcast.net,Nicholas,Jordan,846519690,sakusha@comcast.net,,,,,
8,Carolyn,Young,Grade 1,Gr 1A,839006143,evans@outlook.com,Destiny,Young,839006143,evans@outlook.com,Austin,Young,839006143,evans@outlook.com,,,,,
9,Nicole,Davis,Grade 1,Gr 1A,839073458,zyghom@sbcglobal.net,Kimberly,Davis,839073458,zyghom@sbcglobal.net,Eric,Davis,839073458,zyghom@sbcglobal.net,,,,,
10,Douglas,Mcdonald,Grade 1,Gr 1A,828077377,rjones@verizon.net,Lisa,Mcdonald,828077377,rjones@verizon.net,Robert,Mcdonald,828077377,rjones@verizon.net,,,,,
11,William,Perez,Grade 1,Gr 1A,835736714,eabrown@hotmail.com,Maureen,Perez,835736714,eabrown@hotmail.com,Christopher,Perez,835736714,eabrown@hotmail.com,,,,,
12,Ashley,Mcdaniel,Grade 1,Gr 1A,846743005,damian@sbcglobal.net,Jennifer,Mcdaniel,846743005,damian@sbcglobal.net,Robert,Mcdaniel,846743005,damian@sbcglobal.net,,,,,
13,Henry,Morris,Grade 1,Gr 1A,829227113,maratb@att.net,Cheryl,Morris,829227113,maratb@att.net,Brian,Morris,829227113,maratb@att.net,,,,,
14,Laura,Martinez,Grade 1,Gr 1A,834281252,jdray@me.com,Brenda,Martinez,834281252,jdray@me.com,Joseph,Martinez,834281252,jdray@me.com,,,,,
15,Latasha,Clark,Grade 1,Gr 1A,845622064,ovprit@sbcglobal.net,Rebecca,Clark,845622064,ovprit@sbcglobal.net,Jason,Clark,845622064,ovprit@sbcglobal.net,,,,,
16,Sarah,Harris,Grade 1,Gr 1A,846759794,ubergeeb@verizon.net,Samantha,Harris,846759794,ubergeeb@verizon.net,Nicolas,Harris,846759794,ubergeeb@verizon.net,,,,,
17,Mr.,Joe,Grade 1,Gr 1A,825934464,chaffar@outlook.com,Amanda,Joe,825934464,chaffar@outlook.com,Tim,Joe,825934464,chaffar@outlook.com,,,,,
